x_osa,y_osa
0.0,0.0
183.0,89.0
246.0,121.33333333333333
277.5,137.5
289.6,151.6
241.33333333333334,126.33333333333333
206.85714285714286,108.28571428571429
227.0,119.25
242.66666666666666,127.77777777777777
218.4,98.0
218.4,65.33333333333333
218.4,93.0
217.8,196.0
220.2,127.86666666666666
257.0,140.53333333333333
293.0,140.66666666666666
293.0,139.46666666666667
292.8,138.0
329.4,135.06666666666666
366.4,147.06666666666666
367.0,158.53333333333333
367.6,156.93333333333334
368.8,155.73333333333332
369.8,167.6
370.8,179.6
372.6,179.2
376.2,175.73333333333332
379.6,171.86666666666667
383.0,168.4
386.2,165.33333333333334
389.2,162.93333333333334
392.0,161.33333333333334
394.2,160.0
396.4,157.73333333333332
398.4,155.2
400.4,153.2
399.4,150.8
397.6,147.33333333333334
397.2,144.13333333333333
396.6,140.8
394.8,137.46666666666667
394.4,136.0
394.0,134.93333333333334
393.4,134.53333333333333
389.2,137.2
385.0,139.86666666666667
382.4,140.26666666666668
381.0,140.66666666666666
381.6,141.2
382.0,140.53333333333333
383.6,139.86666666666667
383.8,139.6
384.0,140.0
384.2,140.13333333333333
388.6,140.26666666666668
393.0,140.4
392.6,144.26666666666668
392.2,148.13333333333333
388.2,151.2
384.4,150.8
384.4,147.6
384.4,146.53333333333333
384.4,145.46666666666667
384.2,145.33333333333334
383.6,145.6
383.2,146.0
386.4,146.4
386.8,147.2
388.6,146.66666666666666
390.4,146.13333333333333
389.4,145.86666666666667
388.6,142.4
387.6,139.2
387.0,136.13333333333333
384.8,134.0
382.4,134.66666666666666
379.0,131.2
381.8,130.8
383.4,130.26666666666668
384.8,129.73333333333332
385.2,129.06666666666666
382.6,131.73333333333332
380.2,134.0
378.2,136.93333333333334
377.8,139.86666666666667
377.2,143.33333333333334
377.6,146.8
378.0,146.8
378.4,146.8
379.0,145.73333333333332
380.0,145.06666666666666
384.0,148.66666666666666
387.6,149.06666666666666
390.8,149.46666666666667
390.6,152.8
390.6,156.13333333333333
392.8,152.93333333333334
391.8,149.73333333333332
390.8,147.2
387.2,147.86666666666667
383.2,147.73333333333332
382.4,144.53333333333333
382.0,144.53333333333333
380.0,144.0
382.8,144.13333333333333
385.6,143.86666666666667
386.0,143.46666666666667
386.2,143.2
386.6,142.8
386.4,135.86666666666667
387.8,132.26666666666668
386.0,131.86666666666667
386.2,132.13333333333333
388.0,132.4
388.2,129.06666666666666
388.4,125.73333333333333
388.8,125.46666666666667
389.2,125.2
387.8,126.13333333333334
389.6,126.53333333333333
388.2,128.93333333333334
386.8,131.46666666666667
379.8,133.73333333333332
371.4,135.6
363.2,141.06666666666666
357.8,141.06666666666666
352.4,141.06666666666666
343.8,142.66666666666666
336.8,144.26666666666668
298.8,135.73333333333332
293.4,137.73333333333332
288.0,139.73333333333332
288.0,137.6
289.4,134.8
289.4,136.0
286.6,135.2
282.4,134.13333333333333
282.6,133.6
282.8,133.6
282.8,123.2
251.8,114.93333333333334
255.0,114.93333333333334
256.4,112.66666666666667
223.6,102.13333333333334
192.2,102.13333333333334
160.8,91.6
130.8,81.06666666666666
99.6,74.66666666666667
97.2,76.66666666666667
126.0,74.66666666666667
157.0,74.8
153.8,75.2
150.4,75.2
181.2,75.2
209.2,83.6
237.2,92.0
237.2,83.73333333333333
237.2,75.46666666666667
235.8,83.73333333333333
207.0,83.73333333333333
176.0,83.73333333333333
175.0,94.26666666666667
174.2,104.8
174.4,106.8
177.4,108.8
149.4,98.26666666666667
149.4,87.73333333333333
149.4,77.33333333333333
155.4,73.6
188.8,71.86666666666666
216.6,71.86666666666666
214.4,80.26666666666667
212.2,88.66666666666667
181.2,80.4
150.2,80.4
177.4,88.53333333333333
204.6,86.13333333333334
204.6,75.6
171.2,65.2
137.8,54.8
110.0,54.8
82.2,54.8
87.2,61.06666666666667
120.0,60.666666666666664
120.0,54.0
92.8,45.6
65.6,37.2
65.6,28.8
65.6,28.8
65.6,28.8
93.8,29.066666666666666
93.8,20.933333333333334
61.0,20.933333333333334
28.2,20.933333333333334
28.2,20.933333333333334
28.2,20.933333333333334
28.2,20.933333333333334
28.2,14.666666666666666
56.2,16.933333333333334
56.2,16.933333333333334
28.0,16.933333333333334
28.0,16.933333333333334
28.0,16.933333333333334
60.8,23.066666666666666
93.6,29.2
93.6,20.8
93.6,20.8
93.6,20.8
95.8,31.2
126.0,41.6
156.4,51.86666666666667
186.8,62.13333333333333
186.8,62.13333333333333
154.0,53.6
154.0,60.0
186.8,66.13333333333334
219.6,72.26666666666667
247.2,79.86666666666666
244.6,81.33333333333333
243.4,84.93333333333334
242.0,94.66666666666667
245.0,101.06666666666666
278.4,107.46666666666667
306.6,106.93333333333334
302.0,106.4
302.4,102.4
302.8,98.4
308.4,104.8
311.2,115.2
312.6,119.2
313.6,123.73333333333333
310.2,128.26666666666668
307.0,131.2
309.0,134.13333333333333
313.6,131.73333333333332
310.6,132.26666666666668
307.6,136.13333333333333
307.4,136.13333333333333
310.0,132.66666666666666
307.4,131.06666666666666
305.2,133.06666666666666
303.2,133.86666666666667
273.0,127.46666666666667
242.8,117.06666666666666
210.0,106.66666666666667
179.8,96.0
182.4,91.46666666666667
182.2,87.06666666666666
176.8,84.8
176.6,85.73333333333333
178.8,85.6
150.8,75.33333333333333
150.8,68.93333333333334
183.6,68.93333333333334
216.4,67.06666666666666
249.2,65.06666666666666
249.2,64.26666666666667
249.2,70.53333333333333
254.4,76.8
259.8,83.2
229.8,83.2
258.0,86.93333333333334
286.2,90.66666666666667
280.0,91.86666666666666
273.8,93.06666666666666
261.8,92.8
249.8,102.66666666666667
217.0,102.66666666666667
205.2,105.86666666666666
193.2,109.06666666666666
193.2,102.8
165.0,96.53333333333333
157.6,100.13333333333334
151.8,103.73333333333333
125.2,97.33333333333333
104.4,97.33333333333333
83.6,87.46666666666667
104.8,87.86666666666666
104.6,88.26666666666667
104.4,88.66666666666667
104.4,78.8
104.4,68.93333333333334
83.6,68.93333333333334
62.8,59.333333333333336
83.8,59.86666666666667
104.8,70.0
104.8,70.0
83.6,60.13333333333333
85.6,59.46666666666667
87.6,68.66666666666667
108.2,78.4
128.8,88.13333333333334
149.4,87.6
149.4,77.73333333333333
128.4,67.86666666666666
128.2,77.73333333333333
149.0,87.6
169.8,97.33333333333333
147.0,97.33333333333333
124.2,87.2
103.6,77.06666666666666
83.0,77.06666666666666
83.4,87.06666666666666
83.4,77.86666666666666
83.4,68.66666666666667
62.6,58.93333333333333
41.8,49.2
42.8,50.0
64.0,60.266666666666666
85.2,70.53333333333333
85.2,60.666666666666664
85.2,50.8
64.2,41.06666666666667
64.2,41.06666666666667
64.2,41.06666666666667
64.2,41.06666666666667
64.2,41.06666666666667
42.4,31.066666666666666
21.2,31.066666666666666
21.2,41.46666666666667
42.4,51.86666666666667
42.4,51.86666666666667
42.4,41.333333333333336
42.4,31.066666666666666
63.4,30.533333333333335
63.4,30.533333333333335
63.4,30.533333333333335
63.4,30.533333333333335
63.4,30.533333333333335
42.2,30.533333333333335
21.0,30.533333333333335
42.0,40.266666666666666
63.0,50.0
84.0,59.733333333333334
63.0,49.333333333333336
63.0,38.93333333333333
63.0,38.93333333333333
63.0,38.93333333333333
63.0,38.93333333333333
63.0,29.2
63.0,29.2
42.0,29.2
21.0,29.2
0.0,29.2
25.4,39.46666666666667
46.2,49.46666666666667
67.0,49.733333333333334
67.0,40.0
67.0,30.266666666666666
67.0,30.266666666666666
67.0,30.266666666666666
67.0,30.266666666666666
67.0,30.266666666666666
67.0,30.266666666666666
41.6,30.266666666666666
20.8,30.266666666666666
0.0,30.266666666666666
0.0,30.266666666666666
0.0,30.266666666666666
0.0,20.0
0.0,10.0
0.0,0.0
0.0,0.0
28.0,8.933333333333334
56.0,17.866666666666667
56.0,17.866666666666667
56.0,17.866666666666667
56.0,17.866666666666667
76.8,27.733333333333334
97.6,37.6
97.6,37.6
97.6,37.6
97.6,37.6
69.6,37.6
41.6,37.6
41.6,37.6
41.6,37.6
41.6,37.6
41.4,38.4
41.2,39.2
41.2,39.2
41.2,39.2
41.2,39.2
41.2,29.333333333333332
61.8,29.333333333333332
