x_predvidjeno,y_predvidjeno,x_ekran,y_ekran
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,100,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,500,100
100,400,900,100
100,400,900,100
100,400,900,100
100,400,900,100
100,400,900,100
100,400,900,100
100,400,900,100
100,400,900,100
100,400,900,100
100,400,900,100
100,400,900,100
100,400,900,100
100,400,900,100
100,400,900,100
100,400,900,100
100,400,900,100
100,400,900,100
100,400,900,100
100,400,900,100
100,400,900,100
100,400,900,100
100,400,900,100
100,400,900,100
100,400,900,100
100,400,900,100
100,400,900,100
100,400,900,100
100,400,900,100
100,400,900,100
100,400,900,100
100,400,900,100
100,400,900,100
100,400,900,100
100,400,900,100
100,400,900,100
100,400,900,100
100,400,900,100
100,400,900,100
100,400,900,100
100,400,900,100
100,400,900,100
100,400,900,100
100,400,900,100
100,400,900,100
100,400,900,100
100,400,900,100
100,400,900,100
100,400,900,100
100,400,900,100
100,400,900,100
100,400,900,100
100,400,900,100
100,400,900,100
100,400,900,100
100,400,900,100
100,400,900,100
100,400,900,100
100,400,900,100
100,400,900,100
100,400,900,100
100,400,900,100
100,400,900,100
100,400,900,100
100,400,900,100
100,400,900,100
100,400,900,100
100,400,900,100
100,400,900,100
100,400,900,100
100,400,900,100
100,400,900,100
100,400,900,100
100,400,900,100
100,400,900,100
100,400,900,100
100,400,900,100
203.700318541334,306.16156909266647,900,100
203.700318541334,306.16156909266647,900,100
203.700318541334,306.16156909266647,900,100
203.700318541334,306.16156909266647,900,100
203.700318541334,306.16156909266647,900,100
203.700318541334,306.16156909266647,900,100
203.700318541334,306.16156909266647,900,100
203.700318541334,306.16156909266647,900,100
203.700318541334,306.16156909266647,900,100
219.27080388813368,309.2765917826664,900,100
219.27080388813368,309.2765917826664,900,100
219.27080388813368,309.2765917826664,900,100
219.27080388813368,309.2765917826664,900,100
219.27080388813368,309.2765917826664,900,100
219.27080388813368,309.2765917826664,900,100
219.27080388813368,309.2765917826664,900,100
219.27080388813368,309.2765917826664,900,100
219.27080388813368,309.2765917826664,900,100
240.2118832009334,281.5570199406666,900,100
240.2118832009334,281.5570199406666,900,100
240.2118832009334,281.5570199406666,900,100
240.2118832009334,281.5570199406666,900,100
240.2118832009334,281.5570199406666,900,100
240.2118832009334,281.5570199406666,900,100
240.2118832009334,281.5570199406666,900,100
240.2118832009334,281.5570199406666,900,100
240.2118832009334,281.5570199406666,900,100
251.90596021373352,255.5329459966665,900,100
251.90596021373352,255.5329459966665,900,100
251.90596021373352,255.5329459966665,900,100
251.90596021373352,255.5329459966665,900,100
251.90596021373352,255.5329459966665,900,100
251.90596021373352,255.5329459966665,900,100
251.90596021373352,255.5329459966665,900,100
251.90596021373352,255.5329459966665,900,100
251.90596021373352,255.5329459966665,900,100
303.9880102201335,234.04341953466655,900,100
