x_osa,y_osa,x_tacka,y_tacka
0.0,0.0,100,100
209.0,88.0,100,100
139.33333333333334,58.666666666666664,100,100
104.5,44.0,100,100
83.6,35.2,100,100
69.66666666666667,29.333333333333332,100,100
59.714285714285715,25.142857142857142,100,100
94.0,44.5,100,100
119.77777777777777,59.111111111111114,100,100
141.0,134.0,100,100
173.8,176.66666666666666,100,100
164.6,173.0,100,100
197.8,180.0,100,100
263.6,106.4,100,100
296.2,118.26666666666667,100,100
328.8,118.26666666666667,100,100
328.0,130.0,100,100
328.2,141.86666666666667,100,100
327.4,153.73333333333332,100,100
327.0,165.6,100,100
327.0,177.46666666666667,100,100
326.4,177.33333333333334,100,100
325.8,177.46666666666667,100,100
325.6,177.33333333333334,100,100
325.4,177.6,100,100
325.2,178.0,100,100
325.0,177.86666666666667,100,100
324.2,177.46666666666667,100,100
323.8,177.2,100,100
323.4,176.93333333333334,100,100
323.4,177.06666666666666,100,100
323.2,177.06666666666666,100,100
323.0,177.06666666666666,100,100
323.0,176.8,100,100
323.0,176.53333333333333,100,100
323.2,176.4,100,100
323.4,176.13333333333333,100,100
323.6,176.0,100,100
323.8,175.86666666666667,100,100
324.6,175.86666666666667,100,100
324.8,175.86666666666667,100,100
324.6,175.73333333333332,100,100
324.6,176.0,100,100
324.6,176.13333333333333,100,100
324.6,176.26666666666668,100,100
324.4,176.26666666666668,100,100
324.2,176.26666666666668,100,100
324.4,176.0,100,100
324.8,176.13333333333333,100,100
324.4,176.26666666666668,100,100
324.2,176.0,100,100
324.6,175.86666666666667,100,100
324.8,175.73333333333332,100,100
325.0,175.73333333333332,100,100
325.2,175.6,100,100
325.4,175.46666666666667,100,100
325.6,175.46666666666667,100,100
325.6,175.46666666666667,100,100
325.4,175.6,100,100
325.6,176.0,100,100
325.6,176.26666666666668,100,100
325.6,176.53333333333333,100,100
325.8,176.93333333333334,100,100
325.8,177.2,100,100
326.0,177.46666666666667,100,100
326.2,178.13333333333333,100,100
326.4,178.8,100,100
326.6,179.2,100,100
326.8,179.46666666666667,100,100
327.0,179.86666666666667,100,100
327.4,180.4,100,100
327.8,180.93333333333334,100,100
328.0,181.33333333333334,100,100
328.2,181.73333333333332,100,100
328.4,181.6,100,100
328.6,181.6,100,100
328.8,181.73333333333332,100,100
329.0,182.0,100,100
329.2,182.26666666666668,100,100
329.2,182.26666666666668,100,100
329.0,182.4,100,100
329.0,182.53333333333333,100,100
328.8,182.8,100,100
328.8,182.8,100,100
328.6,182.66666666666666,100,100
328.8,182.4,100,100
329.0,182.13333333333333,100,100
329.0,181.86666666666667,100,100
328.8,181.46666666666667,100,100
329.0,181.6,100,100
329.0,181.46666666666667,100,100
328.8,181.33333333333334,100,100
328.6,180.93333333333334,100,100
328.6,180.66666666666666,100,100
328.6,180.66666666666666,100,100
327.8,180.26666666666668,100,100
327.4,179.73333333333332,100,100
327.2,179.46666666666667,100,100
327.4,179.46666666666667,100,100
326.8,179.33333333333334,100,100
326.6,179.2,100,100
326.4,179.06666666666666,100,100
326.4,178.93333333333334,100,100
326.2,178.93333333333334,100,100
326.0,178.66666666666666,100,100
326.2,178.53333333333333,100,100
326.0,178.4,100,100
326.0,178.4,100,100
326.2,178.4,500,100
326.2,178.26666666666668,500,100
326.2,178.26666666666668,500,100
326.2,178.4,500,100
326.2,178.26666666666668,500,100
326.6,178.53333333333333,500,100
326.6,178.53333333333333,500,100
326.6,178.66666666666666,500,100
326.2,178.66666666666666,500,100
326.2,178.66666666666666,500,100
323.2,179.06666666666666,500,100
321.0,179.6,500,100
318.4,179.73333333333332,500,100
315.8,179.73333333333332,500,100
313.2,180.13333333333333,500,100
310.2,180.4,500,100
307.8,180.8,500,100
305.2,181.06666666666666,500,100
303.0,181.46666666666667,500,100
300.8,182.26666666666668,500,100
301.0,182.26666666666668,500,100
301.2,183.06666666666666,500,100
301.2,183.33333333333334,500,100
301.2,183.6,500,100
301.2,183.86666666666667,500,100
301.2,183.73333333333332,500,100
301.2,183.6,500,100
301.0,183.6,500,100
300.8,183.73333333333332,500,100
300.2,183.46666666666667,500,100
300.0,183.86666666666667,500,100
299.6,183.73333333333332,500,100
299.6,183.86666666666667,500,100
299.6,183.86666666666667,500,100
299.4,183.33333333333334,500,100
299.2,183.2,500,100
299.0,182.8,500,100
299.2,182.8,500,100
299.2,182.8,500,100
299.2,183.33333333333334,500,100
298.8,183.33333333333334,500,100
298.6,183.73333333333332,500,100
298.4,184.4,500,100
298.2,184.66666666666666,500,100
298.2,184.8,500,100
298.0,184.0,500,100
297.8,184.53333333333333,500,100
297.6,184.93333333333334,500,100
297.6,184.93333333333334,500,100
297.4,184.8,500,100
297.2,184.53333333333333,500,100
297.2,184.93333333333334,500,100
297.2,184.66666666666666,500,100
298.2,184.8,500,100
298.8,184.26666666666668,500,100
299.6,184.26666666666668,500,100
299.2,183.2,500,100
298.8,182.4,500,100
298.6,182.13333333333333,500,100
298.6,182.13333333333333,500,100
298.8,182.4,500,100
299.0,182.26666666666668,500,100
298.6,181.6,500,100
297.2,181.33333333333334,500,100
296.6,181.46666666666667,500,100
295.8,181.86666666666667,500,100
296.4,181.86666666666667,500,100
296.8,182.53333333333333,500,100
296.8,182.93333333333334,500,100
297.2,183.46666666666667,500,100
297.2,184.13333333333333,500,100
296.8,185.33333333333334,500,100
297.0,185.46666666666667,500,100
297.2,185.46666666666667,500,100
298.0,185.73333333333332,500,100
298.2,185.73333333333332,500,100
298.0,185.46666666666667,500,100
298.2,186.0,500,100
298.0,185.6,500,100
297.8,185.6,500,100
297.8,185.33333333333334,500,100
298.0,184.8,500,100
298.2,184.13333333333333,500,100
298.2,183.33333333333334,500,100
297.4,182.66666666666666,500,100
297.4,181.86666666666667,500,100
297.4,181.2,500,100
296.8,180.8,500,100
297.2,180.93333333333334,500,100
297.0,180.53333333333333,500,100
297.2,180.53333333333333,500,100
297.0,180.26666666666668,500,100
296.8,179.73333333333332,500,100
297.0,180.13333333333333,500,100
297.0,180.0,500,100
297.0,180.13333333333333,500,100
297.0,180.13333333333333,500,100
297.4,180.13333333333333,500,100
297.4,180.53333333333333,500,100
297.4,180.66666666666666,500,100
296.8,180.53333333333333,500,100
298.0,181.06666666666666,500,100
299.2,182.13333333333333,500,100
299.4,182.53333333333333,500,100
299.6,183.06666666666666,500,100
299.2,182.8,500,100
299.2,182.8,500,100
299.0,182.8,500,100
298.8,182.8,500,100
298.8,182.8,500,100
299.6,182.93333333333334,500,100
298.6,182.93333333333334,500,100
297.6,183.06666666666666,500,100
297.2,182.8,500,100
296.8,182.66666666666666,500,100
297.0,182.8,500,100
297.0,182.13333333333333,500,100
297.0,181.46666666666667,500,100
297.2,180.93333333333334,500,100
297.4,180.4,500,100
297.2,180.53333333333333,900,100
297.0,180.4,900,100
296.8,180.26666666666668,900,100
297.0,180.4,900,100
297.2,180.53333333333333,900,100
297.0,180.13333333333333,900,100
296.2,180.66666666666666,900,100
