smooth_x,smooth_y,x_tacka,y_tacka
680.4,295.8,100,100
680.372,295.79,100,100
680.31796,295.77049999999997,100,100
680.2537027999999,295.74197499999997,100,100
680.1799436039998,295.72487624999997,100,100
680.0973475517197,295.69863243749995,100,100
680.0065332230993,295.66370081562496,100,100
679.9220758974823,295.61051577484375,100,100
679.8575305846584,295.53998998610155,100,100
679.7975034437322,295.46299048679646,100,100
679.7416782026709,295.3798409624566,100,100
679.6897607284839,295.32084891433374,100,100
679.65547747749,295.264806468617,100,100
679.6235940540656,295.23156614518615,100,100
679.6079424702809,295.19998783792687,100,100
679.6073864973612,295.1699884460305,100,100
679.6068694425459,295.131489023729,100,100
679.6063885815677,295.10491457254255,100,100
679.6059413808579,295.08966884391543,100,100
679.5915254841977,295.07518540171964,100,100
679.5921187003039,295.07142613163364,100,100
679.6206703912826,295.05785482505195,100,100
679.6472234638928,295.04496208379936,100,100
679.6859178214203,295.0327139796094,100,100
679.7219035739208,295.02107828062896,100,100
679.7553703237463,295.0100243665975,100,100
679.786494401084,294.99952314826766,100,100
679.8294397930082,294.98954699085425,100,100
679.8973790074976,294.94006964131154,100,100
679.9885624769728,294.90306615924595,100,100
680.0453631035847,294.85791285128363,100,100
680.0701876863337,294.80501720871945,100,100
680.0792745482903,294.75476634828345,100,100
680.07372532991,294.70702803086925,100,100
680.0825645568162,294.67167662932576,100,100
680.076785037839,294.63809279785943,100,100
680.0714100851903,294.6161881579664,100,100
680.052411379227,294.57537875006807,100,100
680.0207425826811,294.55660981256466,100,100
679.9912906018934,294.5387793219364,100,100
679.9779002597609,294.53184035583956,100,100
679.9794472415776,294.5352483380476,100,100
680.0088859346672,294.52848592114526,100,100
680.0502639192405,294.532061625088,100,100
680.0747454448937,294.5154585438335,100,100
680.1255132637511,294.50968561664183,100,100
680.1867273352887,294.50420133580974,100,100
680.2436564218185,294.50899126901925,100,100
680.2826004722913,294.5235417055683,100,100
680.3048184392309,294.52736462028986,100,100
680.3114811484847,294.53099638927534,100,100
680.3176774680908,294.50444656981153,100,100
680.3234400453244,294.499224241321,100,100
680.3287992421517,294.49426302925497,100,100
680.3197832952011,294.5195498777922,100,100
680.283398464537,294.5535723839026,100,100
680.2215605720194,294.5858937647074,100,100
680.1640513319779,294.626599076472,100,100
680.0965677387394,294.67526912264844,100,100
680.0198079970276,294.73150566651606,100,100
