smooth_x,smooth_y,x_tacka,y_tacka
360.0,308.0,40,40
359.29999999999995,308.29999999999995,40,40
357.80899999999997,309.01833333333326,40,40
356.07237,309.8924166666666,40,40
354.3033041,310.81779583333326,40,40
352.7187394796667,311.7102393749999,40,40
351.14842771609,312.6247274062499,40,40
349.63303777596366,313.5434910359374,40,40
348.1809473538684,314.4552053730294,40,40
346.7262810390976,315.6824451043779,40,40
345.1214413663608,316.86498951582564,40,40
343.51694047071555,317.9217400400343,40,40
342.1367546377654,318.6256530380326,40,40
340.8391818131218,319.4077037194643,40,40
339.47843908620325,320.2506518668244,40,40
338.212948350169,321.10478594014984,40,40
336.9660419656571,321.90954664314233,40,40
335.7364190280611,322.6740693109852,40,40
334.69086969609685,323.37369917876924,40,40
333.74650881737006,324.03168088649744,40,40
332.84025320015417,324.65009684217256,40,40
331.98343547614337,325.1775920000639,40,40
331.1025949928133,325.67204573339404,40,40
330.39541334331636,326.10177678005766,40,40
329.76573440928416,326.49668794105474,40,40
329.1941330006342,326.851853544002,40,40
328.6625436905898,327.20926086680186,40,40
328.2381656322485,327.5487978234617,40,40
327.7734940379911,327.86469126562196,40,40
327.3693494553317,328.13145670234087,40,40
326.96549499345844,328.38488386722383,40,40
326.4779103439163,328.6256396738627,40,40
326.15045661984215,328.8343576901695,40,40
325.8599246564532,329.0459731389943,40,40
325.6877299305014,329.2603411487113,40,40
325.5555888353663,329.45065742460906,40,40
325.5306976168906,329.67145788671195,40,40
325.56354878370826,329.84788499237635,40,40
325.6361003688487,330.02882407609087,40,40
325.64757334302925,330.20071620561964,40,40
325.7282432090172,330.364013728672,40,40
326.251266184386,330.41247970890504,40,40
327.10167755147893,330.3585223901265,40,40
327.80856012287535,330.30059627062013,40,40
328.4519609142741,330.2522331237558,40,40
329.0363236502749,330.19962146756797,40,40
329.56578099475564,330.1363070608562,40,40
330.03017632512274,330.0828250411467,40,40
330.4900639823641,330.025350455756,40,40
330.9877595035986,329.9707495996348,40,40
331.46461633834673,329.9255454529864,40,40
331.58609319466245,329.87593484700375,40,40
331.3350666710361,329.84213810465354,40,40
331.07361200406353,329.81669786608757,40,40
330.8304591637791,329.7791963061165,40,40
330.56232702231455,329.75690315747727,40,40
330.28496413075254,329.8290579996034,40,40
330.0550166415998,329.96427176628987,40,40
329.86916547668784,330.0660581779754,40,40
329.6543238933197,330.1694219357433,40,40
329.35652122078733,330.27428417228947,40,40
328.9815647353322,330.380569963675,40,40
328.6328552038589,330.4615414654912,40,40
328.3085553395888,330.55179772555,40,40
327.93695646581756,330.6442078392725,40,40
327.6473695132103,330.7053307806422,40,40
327.3220536472856,330.77673090827676,40,40
327.3415098919756,330.76456102952955,40,40
327.6816041995373,330.6529996447197,40,40
327.99789190556965,330.53368299581706,40,40
328.33403947217977,330.4136655126929,40,40
328.7306567091272,330.2929822370582,40,40
329.4495107394883,330.1116664585386,40,40
330.2020449877241,329.93941646894496,40,40
330.9719018385834,329.7624456454977,40,40
331.70186870988255,329.5676566965561,40,40
332.39473790019076,329.3892738617283,40,40
332.7171062471774,329.2264768353086,40,40
332.694908809875,329.0584863268765,40,40
332.64626519318375,328.90556201053266,40,40
332.58702662966084,328.800283910006,40,40
332.57393476558457,328.69360304783896,40,40
332.1277593319936,328.6922562287803,40,40
331.72681617875406,328.77764341734127,40,40
331.2559390462413,328.8920945798075,40,40
330.74802331300435,329.0141565174838,40,40
330.30366168109407,329.15011535827625,40,40
329.84840536341744,329.37260959036246,40,40
329.38301698797824,329.61064577751097,40,40
328.88020579881976,329.8767801553021,40,40
328.3985913929024,330.15627448087025,40,40
327.8526899953992,330.40846075682674,40,40
327.3310016957212,330.6747043856521,40,40
326.7478315770207,330.9543024997028,40,40
326.2054833666292,331.22658737471767,40,40
325.75709953096515,331.4585913393151,40,40
325.31210256379757,331.6989951056826,40,40
324.8982553843317,331.92071201706517,40,40
324.44337750742847,332.15134308287855,40,40
324.03434108190845,332.3771092620679,40,40
323.72393720617487,332.53825379896455,40,40
323.50526160174263,332.6713411090163,40,40
323.2738932896206,332.8044407202321,40,40
323.0447207593471,332.93088535088714,500,40
322.8035903061928,333.0376744166761,500,40
322.5513389847593,333.1391240291756,500,40
322.3167452558261,333.23550116105014,500,40
322.47657308791827,333.2203927696643,500,40
323.073212971764,333.09937313118104,500,40
323.6280880637405,332.964404474622,500,40
324.50812189927865,332.75618425089084,500,40
325.13055336632914,332.50504170501296,500,40
325.63941463068613,332.2397896197623,500,40
326.2246556065381,331.91446680544084,500,40
326.8669297140804,331.5720767985021,500,40
327.4782446340948,331.2668062919103,500,40
328.1447675097082,330.92346597731483,500,40
328.4146337840286,330.5239593451157,500,40
328.3016094191466,330.0777613778599,500,40
328.0564967598063,329.60720664230024,500,40
327.4925419866198,329.0935129768519,500,40
327.1640640475564,328.545503994676,500,40
327.0545795642275,328.0582287949422,500,40
326.93875899473153,327.6286506885284,500,40
326.84504586510036,327.17388482076865,500,40
326.7858926545433,326.78185724639684,500,40
326.73088016872526,326.3960977174103,500,40
326.44171855691445,326.0162928315398,500,40
325.89279825793045,325.65547818996276,500,40
325.62030237987534,325.2793709471313,500,40
325.36688121328405,324.8887357331081,500,40
324.90719952835417,324.537632279786,500,40
324.25569556136935,324.2240839991301,500,40
323.4257968720735,323.93954646584024,500,40
322.41599109102833,323.66256914254825,500,40
321.47687171465634,323.4061073520875,500,40
320.60349069463035,323.1691353178164,500,40
320.0292463460062,322.9506785519256,500,40
319.5651991017857,322.7631446243293,500,40
318.8956351646607,322.59165405977944,500,40
