smooth_x,smooth_y,x_tacka,y_tacka
327.0,177.46666666666667,100,100
326.95799999999997,177.46,100,100
326.87693999999993,177.46033333333332,100,100
326.78755419999993,177.45398333333333,100,100
326.6904254059999,177.46128416666664,100,100
326.58609562757994,177.4882199583333,100,100
326.4750689336493,177.50714229374998,100,100
326.31581410829386,177.5051185123958,100,100
326.1397071207133,177.489862586776,100,100
325.94792762226336,177.46203612410386,100,100
325.7695726887049,177.442267651232,100,100
325.58970260049557,177.42348760200372,100,100
325.40842341846087,177.40564655523684,100,100
325.2398337791686,177.375364227475,100,100
325.0830454146268,177.3332626827679,100,100
324.9512322356029,177.28659954862948,100,100
324.84264597911067,177.22893623786467,100,100
324.7556607605729,177.16748942597144,100,100
324.68876450733273,177.10244828800617,100,100
324.6825509918194,177.04065920693918,100,100
324.69077242239206,176.98195957992553,100,100
324.68441835282465,176.9195282675959,100,100
324.6785090681269,176.8735518542161,100,100
324.67301343335805,176.83654092817196,100,100
324.667902493023,176.80804721509668,100,100
324.6491493185114,176.78097818767517,100,100
324.6177088662156,176.75526261162474,100,100
324.6024692455805,176.71749948104352,100,100
324.6162963983898,176.688291173658,100,100
324.6011556505025,176.66720994830843,100,100
324.5730747549673,176.633849450893,100,100
324.57495952211957,176.59549031168166,100,100
324.59071235557116,176.55238246276423,100,100
324.61936249068117,176.51143000629267,100,100
324.6600071163335,176.46585850597802,100,100
324.7118066181901,176.41589891401244,100,100
324.7739801549168,176.36843730164514,100,100
324.8318015440726,176.32334876989623,100,100
324.87157543598755,176.2871813314014,100,100
324.9225651554684,176.27282226483132,100,100
324.96998559458564,176.27251448492308,100,100
325.01408660296465,176.28555542734358,100,100
325.06910054075706,176.31794432264306,100,100
325.12026350290404,176.36204710651091,100,100
325.18184505770074,176.4172780845187,100,100
325.2531159036617,176.50308084695942,100,100
325.33339779040534,176.61792680461144,100,100
325.42205994507697,176.74703046438088,100,100
325.5185157489216,176.88301227449517,100,100
325.622219646497,177.03219499410375,100,100
325.7466642712422,177.20058524439855,100,100
325.89039777225526,177.3872226488453,100,100
326.0380699281974,177.5845281830697,100,100
326.1894050332235,177.79196844058288,100,100
326.34414668089784,177.98237001855375,100,100
326.502056413235,178.16325151762607,100,100
326.66291246430853,178.34175560841143,100,100
326.82650859180694,178.52466782799084,100,100
326.9926529903804,178.71176776992462,100,100
327.1471672810537,178.88951271476174,100,100
327.27686557138,179.06503707902365,100,100
327.3974849813834,179.23845189173912,100,100
327.49566103268654,179.41652929715218,100,100
327.5869647603985,179.58570283229457,100,100
327.65787722717056,179.73975102401317,100,100
327.73782582126864,179.87276347281252,100,100
327.82617801377984,179.98579196583853,100,100
327.90834555281526,180.07983570087993,100,100
327.9707613641182,180.14917724916924,100,100
328.04280806862994,180.2217183867108,100,100
328.1098115038258,180.28396580070856,100,100
328.158124698558,180.33643417733978,100,100
328.18905596965897,180.36627913513945,100,100
328.21782205178283,180.3812985117158,100,100
328.244574508158,180.39556691946333,100,100
328.21345429258696,180.3891219068235,100,100
328.15651249210583,180.356332478149,100,100
328.0895566176584,180.31184918757486,100,100
328.04128765442226,180.26959006152944,100,100
327.9543975186127,180.22277722511964,100,100
327.85958969230984,180.17163836386365,100,100
327.75741841384814,180.1163897790038,100,100
327.6623991248788,180.05723695672026,100,100
327.5600311861373,180.0010417755509,100,100
327.45082900310763,179.9343230201067,100,100
327.36327097289006,179.86427353576804,100,100
327.2678420047877,179.79105985897962,100,100
327.17909306445256,179.7215068660306,100,100
327.11055654994084,179.6554315227291,500,100
327.04681759144495,179.58599327992596,500,100
326.9875403600438,179.52002694926298,500,100
326.9324125348407,179.46402560179985,500,100
326.8811436574018,179.40415765504318,500,100
326.8614636013837,179.3606164389577,500,100
326.84316114928686,179.31925228367646,500,100
326.8261398688368,179.28662300282596,500,100
326.7823100780182,179.255625186018,500,100
326.7415483725569,179.22617726005043,500,100
326.49363998647794,179.21820173038125,500,100
326.1090851874245,179.23729164386216,500,100
325.5694492243048,179.2620937283357,500,100
324.8855877786034,179.2856557085856,500,100
324.06759663410116,179.328039589823,500,100
323.09686486971407,179.38163761033184,500,100
322.02608432883403,179.45255572981523,500,100
320.84825842581563,179.5332612766578,500,100
319.5988803360085,179.62993154615825,500,100
318.28295871248787,179.76176830218367,500,100
317.0731516026137,179.88701322040782,500,100
315.9620309904307,180.04599589272075,500,100
314.92868882110054,180.21036276475135,500,100
313.9676806036235,180.37984462651377,500,100
